"Four-Year Graduation Rates, 2012-13"
"All Districts, English Learner Status"

"",,,"Graduates",
"District","English Learner Status","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","ELL","*","*","*"
"Amistad Academy District","Non-ELL","*","*","*"
"Ansonia School District","ELL",13,8,61.5
"Ansonia School District","Non-ELL",199,152,76.4
"Avon School District","ELL","*","*","*"
"Avon School District","Non-ELL","*","*","*"
"Berlin School District","ELL","*","*","*"
"Berlin School District","Non-ELL","*","*","*"
"Bethel School District","ELL","*","*","*"
"Bethel School District","Non-ELL","*","*","*"
"Bloomfield School District","ELL","*","*","*"
"Bloomfield School District","Non-ELL","*","*","*"
"Bolton School District","Non-ELL",81,79,97.5
"Branford School District","ELL","*","*","*"
"Branford School District","Non-ELL","*","*","*"
"Bridgeport School District","ELL",170,99,58.2
"Bridgeport School District","Non-ELL",1059,728,68.7
"Bristol School District","ELL",25,13,52.0
"Bristol School District","Non-ELL",610,494,81.0
"Brookfield School District","ELL","*","*","*"
"Brookfield School District","Non-ELL","*","*","*"
"Canton School District","Non-ELL",124,117,94.4
"Capitol Region Education Council","ELL",9,9,100.0
"Capitol Region Education Council","Non-ELL",237,200,84.4
"Cheshire School District","ELL","*","*","*"
"Cheshire School District","Non-ELL","*","*","*"
"Clinton School District","ELL","*","*","*"
"Clinton School District","Non-ELL","*","*","*"
"Colchester School District","ELL","*","*","*"
"Colchester School District","Non-ELL","*","*","*"
"Common Ground High School District","ELL","*","*","*"
"Common Ground High School District","Non-ELL","*","*","*"
"Connecticut Technical High School System","ELL",96,84,87.5
"Connecticut Technical High School System","Non-ELL",2387,2308,96.7
"Coventry School District","ELL","*","*","*"
"Coventry School District","Non-ELL","*","*","*"
"Cromwell School District","ELL","*","*","*"
"Cromwell School District","Non-ELL","*","*","*"
"Danbury School District","ELL",133,66,49.6
"Danbury School District","Non-ELL",646,522,80.8
"Darien School District","Non-ELL",316,307,97.2
"Department of Mental Health and Addiction Services","Non-ELL","*","*","*"
"Derby School District","ELL","*","*","*"
"Derby School District","Non-ELL","*","*","*"
"East Granby School District","Non-ELL",71,67,94.4
"East Haddam School District","Non-ELL",100,96,96.0
"East Hampton School District","ELL","*","*","*"
"East Hampton School District","Non-ELL","*","*","*"
"East Hartford School District","ELL",37,25,67.6
"East Hartford School District","Non-ELL",519,407,78.4
